表章項目 コード,表章項目,時間軸(年次) コード,時間軸(年次),/性別,総数,男,女
10010,人口【人】,1945000000,1945年,,"71,998,100","33,894,100","38,104,000"
10010,人口【人】,1944000000,1944年,,"73,064,300","34,625,000","38,439,400"
10010,人口【人】,1943000000,1943年,,"72,883,100","34,766,800","38,116,400"
10010,人口【人】,1942000000,1942年,,"72,384,500","34,873,400","37,511,100"
10010,人口【人】,1941000000,1941年,,"71,680,200","34,706,000","36,974,200"
10010,人口【人】,1940000000,1940年,,"71,933,000","35,387,400","36,545,600"
10010,人口【人】,1939000000,1939年,,"71,379,700","35,225,600","36,154,100"
10010,人口【人】,1938000000,1938年,,"71,012,600","35,124,900","35,887,700"
10010,人口【人】,1937000000,1937年,,"70,630,400","35,127,900","35,502,500"
10010,人口【人】,1936000000,1936年,,"70,113,600","35,102,800","35,010,800"
10010,人口【人】,1935000000,1935年,,"69,254,148","34,734,133","34,520,015"
10010,人口【人】,1934000000,1934年,,"68,308,900","34,293,800","34,015,100"
10010,人口【人】,1933000000,1933年,,"67,431,600","33,844,500","33,587,000"
10010,人口【人】,1932000000,1932年,,"66,433,800","33,354,600","33,079,200"
10010,人口【人】,1931000000,1931年,,"65,457,500","32,898,500","32,559,000"
10010,人口【人】,1930000000,1930年,,"64,450,005","32,390,155","32,059,850"
10010,人口【人】,1929000000,1929年,,"63,460,600","31,890,600","31,570,000"
10010,人口【人】,1928000000,1928年,,"62,595,300","31,449,100","31,146,100"
10010,人口【人】,1927000000,1927年,,"61,659,300","30,981,500","30,677,800"
10010,人口【人】,1926000000,1926年,,"60,740,900","30,521,300","30,219,600"
10010,人口【人】,1925000000,1925年,,"59,736,822","30,013,109","29,723,713"
10010,人口【人】,1924000000,1924年,,"58,875,600","29,568,700","29,306,900"
10010,人口【人】,1923000000,1923年,,"58,119,200","29,176,900","28,942,300"
10010,人口【人】,1922000000,1922年,,"57,390,100","28,799,700","28,590,300"
10010,人口【人】,1921000000,1921年,,"56,665,900","28,411,700","28,254,200"
10010,人口【人】,1920000000,1920年,,"55,963,053","28,044,185","27,918,868"
10010,人口【人】,1919000000,1919年,,"55,033,000","27,602,000","27,431,000"
10010,人口【人】,1918000000,1918年,,"54,739,000","27,453,000","27,286,000"
10010,人口【人】,1917000000,1917年,,"54,134,000","27,158,000","26,976,000"
10010,人口【人】,1916000000,1916年,,"53,496,000","26,841,000","26,655,000"
10010,人口【人】,1915000000,1915年,,"52,752,000","26,465,000","26,287,000"
10010,人口【人】,1914000000,1914年,,"52,039,000","26,105,000","25,934,000"
10010,人口【人】,1913000000,1913年,,"51,305,000","25,737,000","25,568,000"
10010,人口【人】,1912000000,1912年,,"50,577,000","25,365,000","25,212,000"
10010,人口【人】,1911000000,1911年,,"49,852,000","24,993,000","24,859,000"
10010,人口【人】,1910000000,1910年,,"49,184,000","24,650,000","24,534,000"
10010,人口【人】,1909000000,1909年,,"48,554,000","24,326,000","24,228,000"
10010,人口【人】,1908000000,1908年,,"47,965,000","24,041,000","23,924,000"
10010,人口【人】,1907000000,1907年,,"47,416,000","23,786,000","23,630,000"
10010,人口【人】,1906000000,1906年,,"47,038,000","23,599,000","23,439,000"
10010,人口【人】,1905000000,1905年,,"46,620,000","23,421,000","23,199,000"
10010,人口【人】,1904000000,1904年,,"46,135,000","23,195,000","22,940,000"
10010,人口【人】,1903000000,1903年,,"45,546,000","22,901,000","22,645,000"
10010,人口【人】,1902000000,1902年,,"44,964,000","22,606,000","22,358,000"
10010,人口【人】,1901000000,1901年,,"44,359,000","22,298,000","22,061,000"
10010,人口【人】,1900000000,1900年,,"43,847,000","22,051,000","21,796,000"
10010,人口【人】,1899000000,1899年,,"43,404,000","21,836,000","21,568,000"
